,index,Feature name,Coefficients,p_values,Original feature name,Score Calculation,Score Preliminary
55,55,total_rev_hi_lim:5K-10K,0.035011550074103906,0.15071368560909673,total_rev_hi_lim,2.807526681678096,3.0
56,56,total_rev_hi_lim:10K-20K,-0.003607521119362915,0.8779433900098629,total_rev_hi_lim,-0.28928201624582994,-0.0
57,57,total_rev_hi_lim:20K-30K,-0.0051524386603374935,0.841344649326113,total_rev_hi_lim,-0.41316676879458303,-0.0
58,58,total_rev_hi_lim:30K-40K,0.007659007851501084,0.7905663722393931,total_rev_hi_lim,0.6141650070550803,1.0
59,59,total_rev_hi_lim:40K-55K,0.031164192864992533,0.3211190394590683,total_rev_hi_lim,2.499012548608733,2.0
60,60,total_rev_hi_lim:55K-95K,0.06764183554668193,0.05415615662793543,total_rev_hi_lim,5.424103122913557,5.0
61,61,total_rev_hi_lim:>95K,0.2300514868713802,3.7974063881310444e-05,total_rev_hi_lim,18.44750335772298,18.0
62,62,annual_inc:20K-30K,-0.08241789085133808,0.05054745821470283,annual_inc,-6.6089740992048025,-7.0
63,63,annual_inc:30K-40K,-0.024686071550397894,0.5436499502172913,annual_inc,-1.9795411627552881,-2.0
64,64,annual_inc:40K-50K,0.06880117277122971,0.09076243280509837,annual_inc,5.517068735235531,6.0
65,65,annual_inc:50K-60K,0.1335608873903153,0.0012105715907608364,annual_inc,10.710058657307561,11.0
66,66,annual_inc:60K-70K,0.21095823092010924,6.018517960548749e-07,annual_inc,16.916442167634433,17.0
67,67,annual_inc:70K-80K,0.2849034996754886,4.1946979290249007e-11,annual_inc,22.84600868426055,23.0
68,68,annual_inc:80K-90K,0.3594514981605551,1.3738505533506142e-15,annual_inc,28.823907245436413,29.0
69,69,annual_inc:90K-100K,0.37826676785843816,4.848100673570679e-16,annual_inc,30.33267711103706,30.0
70,70,annual_inc:100K-120K,0.4551226464154453,8.457745849924676e-23,annual_inc,36.4956413110199,36.0
71,71,annual_inc:120K-140K,0.543861107111568,4.601864244945416e-25,annual_inc,43.61145296654781,44.0
72,72,annual_inc:>140K,0.472990936015637,2.29436150429492e-22,annual_inc,37.92847418195281,38.0
73,73,dti:<=1.4,-0.07359405311989484,0.3785044075838726,dti,-5.901403031560237,-6.0
74,74,dti:1.4-3.5,0.030950786299732243,0.6580164322685699,dti,2.4818997779731733,2.0
75,75,dti:3.5-7.7,0.05024252666052227,0.40358246826042243,dti,4.028877152133619,4.0
76,76,dti:7.7-10.5,-0.010412262753908202,0.8616320264614358,dti,-0.8349446235990028,-1.0
77,77,dti:10.5-16.1,-0.08732403182847286,0.1300199829235029,dti,-7.002390605135743,-7.0
78,78,dti:16.1-20.3,-0.18309563105292168,0.0015218628390023597,dti,-14.682179691894795,-15.0
79,79,dti:20.3-21.7,-0.19280101446303202,0.0014257080300985206,dti,-15.46044066069305,-15.0
80,80,dti:21.7-22.4,-0.22515780926549667,0.0004848497965830242,dti,-18.055086271905044,-18.0
81,81,dti:22.4-35,-0.25002862976480367,1.1901189465539193e-05,dti,-20.049442191572734,-20.0
82,82,mths_since_last_delinq:Missing,0.01702975012645471,0.7092080161683647,mths_since_last_delinq,1.3655915765265136,1.0
83,83,mths_since_last_delinq:4-30,0.0789733787819831,0.08776771288131816,mths_since_last_delinq,6.332763548126428,6.0
84,84,mths_since_last_delinq:31-56,0.11888086823995739,0.011483415565325653,mths_since_last_delinq,9.532888684400268,10.0
85,85,mths_since_last_delinq:>=57,0.06986491089360355,0.14942116846577733,mths_since_last_delinq,5.602368390765254,6.0
86,86,mths_since_last_record:Missing,0.4948005413464514,8.73240198567834e-10,mths_since_last_record,39.67735558690435,40.0
87,87,mths_since_last_record:3-20,0.6686041383264739,4.025798826238179e-08,mths_since_last_record,53.61442020872912,54.0
88,88,mths_since_last_record:21-31,0.6006485775640841,7.854250436526604e-08,mths_since_last_record,48.1651599044868,48.0
89,89,mths_since_last_record:32-80,0.7663341305584002,1.4076635314123548e-19,mths_since_last_record,61.45125006089465,61.0
90,90,mths_since_last_record:81-86,0.4042722585619129,6.941847259297083e-05,mths_since_last_record,32.41802062955038,32.0
91,91,mths_since_last_record:>86,0.3919906168690078,2.780414902750259e-06,mths_since_last_record,31.433173152798844,31.0
92,0,grade:G,0.0,,grade,0.0,0.0
93,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0
94,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0
95,3,verification_status:Verified,0.0,,verification_status,0.0,0.0
96,4,purpose:sm_b__educ__mov__hou__ren_en__wedd,0.0,,purpose,0.0,0.0
